ID_Venda,Produto,Quantidade,Preco_Unitario,Data_Venda,Regiao
73,B,14,13.66,2023-06-09,Sul
74,A,22,2.44,2023-11-16,Leste
75,B,4,3.07,2023-10-25,Norte
76,D,13,12.28,2023-02-18,Leste
77,B,16,1.59,2023-05-31,Leste
78,D,21,13.15,2023-12-08,Leste
79,A,5,1.38,2023-12-16,Norte
80,C,5,14.57,2023-08-13,Leste
81,A,10,5.68,2023-02-13,Sul
82,C,6,9.43,2023-07-06,Sul
83,D,18,5.38,2023-08-15,Norte
84,A,19,1.66,2023-06-19,Oeste
85,A,13,13.34,2023-04-20,Oeste
86,C,19,12.43,2023-06-12,Oeste
87,C,4,7.09,2023-12-02,Norte
88,D,3,9.7,2023-07-03,Oeste
89,D,9,6.23,2023-10-06,Sul
90,D,4,14.31,2023-02-24,Sul
91,A,7,3.9,2023-09-15,Oeste
92,B,4,6.28,2023-01-08,Oeste
93,C,2,12.85,2023-08-04,Oeste
94,B,20,5.66,2023-02-08,Norte
95,D,4,2.35,2023-11-30,Norte
96,D,5,12.35,2023-07-01,Oeste
97,D,15,11.27,2023-10-01,Leste
98,D,17,11.94,2023-09-06,Leste
99,B,20,2.6,2023-12-27,Sul
100,A,10,11.98,2023-07-17,Oeste
101,A,12,12.22,2023-12-28,Oeste
102,B,21,10.29,2023-12-07,Norte
103,B,6,8.99,2023-11-05,Norte
104,B,7,12.85,2023-01-04,Sul
105,B,21,10.01,2023-07-22,Oeste
106,C,12,1.83,2023-09-25,Norte
107,A,9,5.85,2023-02-19,Norte
108,D,13,8.44,2023-08-22,Sul
109,C,17,3.91,2023-04-02,Sul
110,D,16,9.84,2023-04-16,Leste
111,D,17,4.33,2023-06-24,Sul
112,D,6,11.95,2023-11-09,Leste
113,D,19,11.39,2023-03-12,Norte
114,D,6,5.87,2023-03-13,Norte
115,B,16,10.74,2023-04-17,Leste
116,C,10,7.15,2023-11-10,Norte
117,D,16,2.39,2023-10-18,Oeste
118,B,5,6.61,2023-03-03,Leste
119,B,15,3.45,2023-06-14,Norte
120,D,1,4.84,2023-03-07,Leste
121,C,2,2.72,2023-01-05,Sul
122,D,9,12.97,2023-06-03,Oeste
123,B,17,10.47,2023-10-28,Norte
124,D,4,4.4,2023-06-06,Oeste
125,D,13,11.04,2023-02-21,Norte
126,C,5,3.46,2023-10-16,Leste
127,C,2,5.41,2023-10-02,Leste
128,D,13,12.61,2023-11-20,Oeste
129,A,16,7.16,2023-06-15,Sul
130,B,1,14.39,2023-02-04,Leste
131,A,21,6.92,2023-05-17,Norte
132,A,16,1.37,2023-01-09,Leste
133,D,13,11.6,2023-03-15,Sul
134,D,24,13.64,2023-05-27,Sul
135,D,20,12.4,2023-06-18,Norte
136,B,23,4.94,2023-07-04,Oeste
137,A,10,9.03,2023-09-30,Sul
138,A,6,6.34,2023-04-11,Sul
139,C,21,12.12,2023-05-08,Sul
140,D,6,4.93,2023-07-23,Leste
141,A,16,5.1,2023-05-06,Leste
142,A,10,11.42,2023-11-08,Leste
143,D,10,5.68,2023-01-26,Oeste
144,B,11,11.43,2023-02-25,Norte
145,C,2,13.7,2023-04-03,Oeste
146,C,19,12.08,2023-03-27,Oeste
147,D,18,7.67,2023-01-28,Norte
148,C,4,9.48,2023-02-27,Sul
149,C,2,12.73,2023-11-13,Sul
150,B,1,11.87,2023-08-08,Sul
151,C,11,4.76,2023-04-10,Oeste
152,A,7,4.1,2023-08-11,Sul
153,C,24,3.9,2023-12-25,Oeste
154,B,11,11.05,2023-07-29,Leste
155,C,2,5.93,2023-07-24,Oeste
156,B,3,9.22,2023-02-11,Oeste
157,A,11,11.87,2023-10-21,Norte
158,D,12,8.05,2023-11-16,Oeste
159,C,9,12.9,2023-04-18,Leste
160,D,18,6.49,2023-07-25,Oeste
161,C,2,13.05,2023-12-13,Sul
162,C,23,4.29,2023-06-09,Oeste
163,C,5,6.89,2023-11-04,Leste
164,B,5,12.88,2023-01-07,Norte
165,C,19,11.12,2023-02-17,Oeste
166,D,17,8.85,2023-12-28,Sul
167,B,17,2.25,2023-01-02,Leste
168,A,12,10.9,2023-11-15,Leste
169,B,6,5.28,2023-01-08,Sul
170,B,5,10.69,2023-12-18,Sul
171,C,14,3.49,2023-02-05,Leste
172,B,16,9.89,2023-07-07,Sul
173,A,9,12.15,2023-07-26,Norte
174,D,16,1.1,2023-09-29,Leste
175,B,10,14.72,2023-01-12,Norte
176,A,22,12.01,2023-11-16,Leste
177,B,21,11.94,2023-01-15,Norte
178,D,5,11.98,2023-07-05,Sul
179,C,17,11.56,2023-06-27,Oeste
180,B,24,12.3,2023-01-31,Norte
181,C,17,14.47,2023-11-01,Sul
182,A,21,14.99,2023-06-18,Sul
183,B,15,12.05,2023-02-05,Norte
184,D,6,8.95,2023-03-06,Leste
185,D,19,2.58,2023-03-24,Leste
186,D,18,9.72,2023-08-26,Norte
187,D,17,6.43,2023-02-13,Sul
188,C,18,5.25,2023-12-05,Oeste
189,D,12,14.69,2023-09-22,Oeste
190,D,4,7.06,2023-03-28,Oeste
191,D,23,2.73,2023-08-12,Oeste
192,B,7,12.24,2023-07-23,Oeste
193,D,11,6.43,2023-04-02,Norte
194,B,10,2.48,2023-10-27,Oeste
195,A,23,9.45,2023-02-28,Leste
196,A,15,5.44,2023-01-20,Norte
197,B,11,12.14,2023-02-28,Sul
198,C,21,6.18,2023-01-10,Sul
199,B,14,2.3,2023-11-07,Leste
200,C,14,2.71,2023-07-11,Sul
201,A,22,10.99,2023-07-20,Norte
202,B,10,8.48,2023-01-06,Sul
203,A,11,13.68,2023-09-17,Sul
204,C,6,1.86,2023-12-11,Sul
205,C,8,9.38,2023-06-06,Sul
206,B,3,4.32,2023-06-09,Oeste
207,B,9,4.46,2023-03-26,Leste
208,B,9,14.57,2023-02-06,Oeste
209,B,7,5.8,2023-11-24,Sul
210,A,8,7.88,2023-01-03,Oeste
211,B,14,9.5,2023-09-03,Norte
212,B,9,1.08,2023-08-09,Sul
213,B,19,2.63,2023-04-14,Leste
214,A,6,2.82,2023-10-26,Leste
215,A,9,9.97,2023-05-12,Norte
216,A,22,10.0,2023-11-28,Oeste
217,D,12,11.52,2023-05-01,Leste
218,A,1,13.8,2023-11-15,Sul
219,C,20,2.82,2023-10-26,Leste
220,D,17,12.66,2023-04-20,Leste
221,A,12,9.53,2023-09-05,Oeste
222,A,12,2.51,2023-06-13,Norte
223,C,1,13.43,2023-06-02,Norte
224,D,14,5.21,2023-06-22,Leste
225,B,9,13.6,2023-08-09,Oeste
226,A,13,7.89,2023-07-31,Leste
227,D,17,10.82,2023-06-26,Sul
228,C,22,5.46,2023-04-23,Leste
229,A,17,7.62,2023-08-27,Sul
230,C,1,2.74,2023-10-29,Leste
231,A,1,5.47,2023-03-29,Oeste
232,B,9,9.2,2023-11-28,Norte
233,D,16,13.36,2023-07-12,Sul
234,A,21,8.08,2023-05-25,Oeste
235,D,1,8.43,2023-12-31,Norte
236,B,5,5.89,2023-11-10,Sul
237,D,10,14.58,2023-12-25,Sul
238,C,10,8.96,2023-09-20,Leste
239,B,11,2.17,2023-09-29,Norte
240,D,23,2.38,2023-12-25,Oeste
241,B,13,5.67,2023-06-08,Norte
242,B,17,1.7,2023-10-14,Oeste
243,A,2,9.12,2023-06-27,Norte
244,C,18,14.97,2023-10-02,Leste
245,C,13,13.64,2023-06-14,Norte
246,C,14,7.21,2023-10-29,Norte
247,B,19,1.57,2023-06-18,Oeste
248,D,14,5.04,2023-01-22,Leste
249,B,17,4.34,2023-07-23,Norte
250,B,18,14.12,2023-12-01,Oeste
251,A,5,2.49,2023-05-25,Sul
252,B,12,3.29,2023-10-18,Leste
253,B,17,14.27,2023-01-21,Sul
254,B,23,14.31,2023-02-20,Sul
255,D,10,1.83,2023-05-27,Sul
256,B,12,11.44,2023-10-27,Oeste
257,D,15,2.85,2023-06-23,Sul
258,A,6,8.11,2023-08-12,Leste
259,C,22,1.1,2023-08-21,Norte
260,D,14,3.53,2023-10-12,Leste
261,C,4,8.3,2023-04-30,Oeste
262,B,21,7.95,2023-07-24,Sul
263,B,17,5.69,2023-03-20,Sul
264,D,23,2.6,2023-10-09,Oeste
265,A,8,13.48,2023-11-08,Leste
266,D,6,1.86,2023-11-23,Leste
267,D,9,14.52,2023-07-25,Norte
268,C,2,8.03,2023-05-21,Norte
269,D,2,7.76,2023-12-08,Norte
270,D,3,8.24,2023-08-27,Sul
271,B,22,6.36,2023-04-01,Norte
272,D,9,2.43,2023-02-27,Sul
273,C,13,12.05,2023-09-18,Oeste
274,A,14,6.4,2023-11-05,Leste
275,B,17,11.56,2023-05-29,Oeste
276,B,13,6.18,2023-12-17,Norte
277,B,18,14.81,2023-07-09,Norte
278,C,16,8.93,2023-10-02,Leste
279,D,24,5.04,2023-12-06,Oeste
280,B,14,10.63,2023-04-29,Sul
281,D,23,4.43,2023-05-04,Norte
282,C,12,3.98,2023-01-17,Leste
283,A,11,3.89,2023-06-17,Oeste
284,C,14,4.1,2023-11-22,Leste
285,A,22,9.58,2023-08-23,Leste
286,B,17,10.13,2023-09-23,Leste
287,B,17,3.76,2023-01-14,Sul
288,D,5,12.59,2023-04-02,Norte
289,A,6,5.44,2023-03-02,Norte
290,B,13,10.45,2023-03-26,Norte
291,D,20,5.92,2023-09-09,Sul
292,C,9,5.07,2023-01-03,Sul
293,A,21,12.44,2023-06-18,Leste
294,B,9,7.04,2023-08-13,Oeste
295,B,3,4.35,2023-12-12,Sul
296,A,20,1.57,2023-12-16,Norte
297,D,20,11.93,2023-01-20,Sul
298,A,4,12.32,2023-02-01,Leste
299,C,5,3.59,2023-06-12,Oeste
300,A,7,11.63,2023-09-21,Oeste
301,B,15,10.52,2023-07-06,Oeste
302,A,14,10.3,2023-08-24,Sul
303,A,21,13.79,2023-05-26,Leste
304,A,6,10.33,2023-02-02,Leste
305,D,11,8.41,2023-03-24,Oeste
306,A,18,7.61,2023-03-21,Norte
307,D,15,7.12,2023-08-27,Leste
308,D,24,8.1,2023-06-28,Norte
309,A,20,6.25,2023-03-10,Oeste
310,C,23,4.51,2023-04-07,Leste
311,C,10,1.86,2023-12-20,Sul
312,D,20,2.3,2023-07-09,Norte
313,D,9,3.95,2023-04-18,Leste
314,A,13,6.33,2023-02-12,Sul
315,D,24,5.64,2023-02-17,Oeste
316,B,14,9.16,2023-02-03,Oeste
317,D,13,10.94,2023-06-06,Oeste
318,C,19,12.73,2023-01-30,Sul
319,B,4,5.35,2023-10-06,Leste
320,B,18,3.27,2023-06-25,Norte
321,C,22,13.28,2023-01-22,Oeste
322,C,9,13.47,2023-04-18,Sul
323,C,15,7.99,2023-01-28,Sul
324,B,8,14.02,2023-05-02,Oeste
325,C,17,8.7,2023-02-11,Norte
326,A,19,1.92,2023-02-20,Norte
327,C,20,6.51,2023-10-11,Sul
328,A,13,13.98,2023-08-15,Sul
329,C,18,10.29,2023-10-20,Norte
330,D,4,2.82,2023-06-21,Oeste
331,D,1,8.91,2023-03-31,Oeste
332,D,11,4.36,2023-06-08,Oeste
333,C,5,5.34,2023-12-17,Norte
334,C,13,9.94,2023-09-16,Norte
335,A,10,5.02,2023-02-07,Norte
336,A,19,5.6,2023-06-20,Oeste
337,B,6,13.91,2023-07-02,Norte
338,B,23,2.83,2023-11-16,Oeste
339,A,9,7.75,2023-05-07,Leste
340,B,7,8.29,2023-04-02,Oeste
341,B,18,12.43,2023-11-19,Norte
342,B,18,8.43,2023-10-19,Oeste
343,A,6,10.8,2023-02-18,Leste
344,C,10,9.62,2023-11-21,Sul
345,B,24,3.19,2023-12-14,Oeste
346,D,15,4.04,2023-06-13,Sul
347,A,22,6.32,2023-06-21,Leste
348,B,5,9.44,2023-06-10,Oeste
349,A,9,6.7,2023-05-24,Oeste
350,D,19,8.15,2023-11-20,Sul
351,D,1,7.1,2023-09-28,Oeste
352,A,9,10.73,2023-07-18,Norte
353,A,23,6.86,2023-12-13,Oeste
354,A,1,12.19,2023-10-26,Leste
355,A,6,8.14,2023-05-17,Leste
356,D,15,6.0,2023-02-18,Oeste
357,A,5,10.51,2023-01-05,Oeste
358,A,10,1.02,2023-11-25,Leste
359,A,3,11.77,2023-06-06,Norte
360,B,24,11.89,2023-02-23,Sul
361,A,14,4.03,2023-12-12,Norte
362,B,14,12.1,2023-12-16,Leste
363,B,10,12.7,2023-02-07,Oeste
364,C,6,4.82,2023-11-15,Sul
365,B,3,4.82,2023-12-27,Oeste
366,A,20,5.68,2023-10-01,Sul
367,A,8,2.57,2023-06-17,Oeste
368,B,15,14.43,2023-10-22,Leste
369,C,21,2.53,2023-12-11,Norte
370,D,1,12.82,2023-04-29,Sul
371,A,12,5.41,2023-05-31,Sul
372,A,16,4.61,2023-12-20,Norte
373,A,20,9.16,2023-10-14,Oeste
374,C,22,1.89,2023-05-15,Norte
375,C,18,13.3,2023-03-01,Oeste
376,D,4,7.16,2023-08-06,Sul
377,D,12,12.86,2023-06-06,Norte
378,B,4,5.36,2023-09-21,Norte
379,A,17,4.97,2023-04-07,Oeste
380,D,9,7.88,2023-07-02,Norte
381,A,3,3.88,2023-01-25,Leste
382,C,4,12.73,2023-11-14,Leste
383,C,6,7.75,2023-08-14,Norte
384,C,11,14.28,2023-04-21,Leste
385,B,9,14.67,2023-08-22,Leste
386,A,10,3.67,2023-07-09,Sul
387,D,24,7.56,2023-03-20,Oeste
388,B,10,7.32,2023-02-03,Oeste
389,A,14,3.88,2023-01-21,Norte
390,D,13,5.0,2023-09-22,Oeste
391,B,10,12.71,2023-12-29,Norte
392,C,17,13.94,2023-01-25,Oeste
393,D,3,5.47,2023-12-26,Oeste
394,D,23,1.3,2023-05-13,Oeste
395,B,6,4.12,2023-03-07,Sul
396,B,15,6.06,2023-05-16,Oeste
397,C,11,5.01,2023-08-12,Oeste
398,C,9,13.32,2023-11-26,Sul
399,C,21,6.11,2023-10-04,Leste
400,B,19,5.43,2023-11-10,Leste
401,B,16,4.85,2023-06-08,Leste
402,D,14,8.76,2023-07-07,Oeste
403,A,8,10.62,2023-09-10,Oeste
404,A,21,5.23,2023-08-26,Oeste
405,D,8,2.53,2023-01-20,Norte
406,B,12,8.11,2023-03-08,Oeste
407,B,8,12.33,2023-08-01,Oeste
408,D,23,7.62,2023-07-26,Norte
409,B,13,10.85,2023-12-18,Oeste
410,C,12,8.43,2023-10-03,Oeste
411,B,10,14.69,2023-05-24,Leste
412,C,1,1.7,2023-09-01,Sul
413,A,14,11.3,2023-04-18,Sul
414,A,19,12.97,2023-07-12,Oeste
415,C,8,10.47,2023-10-04,Sul
416,A,22,6.88,2023-04-01,Oeste
417,C,7,14.85,2023-04-27,Norte
418,B,4,3.23,2023-01-14,Sul
419,A,1,6.71,2023-03-19,Oeste
420,C,14,7.09,2023-06-14,Leste
421,A,18,12.01,2023-03-27,Oeste
422,D,2,5.66,2023-11-13,Leste
423,B,19,2.41,2023-11-11,Leste
424,A,20,14.87,2023-01-08,Oeste
425,B,23,12.44,2023-10-24,Norte
426,D,11,3.17,2023-01-30,Sul
427,D,24,8.36,2023-04-05,Norte
428,A,22,14.71,2023-04-03,Sul
429,B,5,11.23,2023-11-08,Sul
430,A,11,4.34,2023-11-27,Norte
431,A,12,13.71,2023-04-01,Sul
432,D,18,3.76,2023-10-17,Oeste
433,A,1,8.19,2023-09-09,Sul
434,C,17,4.61,2023-06-17,Oeste
435,C,16,2.58,2023-01-30,Sul
436,D,22,11.89,2023-04-22,Sul
437,C,6,12.1,2023-07-20,Oeste
438,B,9,6.36,2023-03-30,Norte
439,D,2,14.84,2023-01-03,Oeste
440,D,1,12.0,2023-09-18,Leste
441,A,9,7.63,2023-09-05,Leste
442,B,14,6.36,2023-11-27,Sul
443,A,13,14.78,2023-02-16,Sul
444,D,10,1.46,2023-08-20,Sul
445,D,16,12.89,2023-02-18,Sul
446,D,3,11.12,2023-07-31,Sul
447,D,18,4.18,2023-10-21,Sul
448,A,8,11.78,2023-06-29,Sul
449,D,13,1.9,2023-02-22,Oeste
450,C,18,6.56,2023-02-21,Norte
451,B,12,5.89,2023-08-28,Norte
452,B,1,7.12,2023-11-06,Oeste
453,A,18,6.28,2023-09-04,Oeste
454,D,2,14.43,2023-08-02,Sul
455,D,4,1.81,2023-10-29,Sul
456,D,10,11.47,2023-02-14,Oeste
457,D,17,11.02,2023-09-05,Leste
458,B,20,3.59,2023-02-14,Norte
459,D,16,11.54,2023-08-19,Oeste
460,C,5,2.4,2023-03-09,Sul
461,B,23,8.21,2023-07-16,Oeste
462,B,3,12.18,2023-04-01,Norte
463,B,4,4.25,2023-06-20,Leste
464,C,4,3.56,2023-10-06,Oeste
465,A,24,9.74,2023-11-15,Leste
466,D,18,14.36,2023-08-03,Norte
467,C,19,12.42,2023-04-16,Oeste
468,A,17,3.32,2023-03-09,Sul
469,C,16,11.97,2023-06-07,Leste
470,C,24,10.1,2023-03-25,Sul
471,D,13,14.63,2023-12-26,Oeste
472,C,23,14.08,2023-02-18,Leste
473,A,12,3.88,2023-01-16,Sul
474,C,8,11.02,2023-12-17,Leste
475,A,23,2.43,2023-04-02,Norte
476,A,8,7.43,2023-01-17,Norte
477,D,11,2.59,2023-10-26,Sul
478,C,7,12.39,2023-09-10,Sul
479,B,2,13.24,2023-06-03,Oeste
480,D,1,3.62,2023-07-24,Norte
481,B,10,13.6,2023-01-24,Leste
482,B,6,8.71,2023-07-29,Norte
483,A,8,4.92,2023-02-16,Oeste
484,A,10,11.97,2023-07-21,Leste
485,B,18,7.07,2023-03-30,Leste
486,A,24,1.75,2023-12-13,Sul
487,A,1,3.23,2023-03-01,Norte
488,B,3,8.48,2023-06-16,Norte
489,D,19,3.82,2023-05-14,Sul
490,D,9,6.8,2023-06-18,Norte
491,A,4,2.25,2023-03-10,Leste
492,D,4,5.59,2023-05-26,Norte
493,D,19,8.97,2023-12-21,Norte
494,A,15,7.28,2023-06-06,Oeste
495,B,10,10.7,2023-10-05,Sul
496,C,3,14.88,2023-04-24,Norte
497,B,19,10.29,2023-05-31,Norte
498,A,2,14.18,2023-04-06,Norte
499,A,13,9.39,2023-09-04,Sul
500,B,24,2.39,2023-06-08,Leste
501,A,7,9.0,2023-08-08,Norte
502,B,6,6.6,2023-02-11,Leste
503,D,9,3.11,2023-05-11,Sul
504,C,7,11.66,2023-07-23,Norte
505,C,23,14.27,2023-03-21,Leste
506,A,15,5.12,2023-10-04,Sul
507,A,15,2.89,2023-03-26,Oeste
508,C,18,2.36,2023-09-07,Norte
509,A,22,5.69,2023-02-19,Norte
510,D,8,9.45,2023-10-26,Norte
511,B,19,5.91,2023-01-01,Oeste
512,D,11,8.18,2023-01-14,Norte
513,A,3,4.53,2023-07-15,Norte
514,D,20,14.3,2023-06-07,Oeste
515,B,22,3.63,2023-03-08,Leste
516,C,22,13.34,2023-07-26,Oeste
517,A,11,12.2,2023-09-19,Leste
518,A,22,7.71,2023-10-05,Sul
519,A,20,10.23,2023-12-10,Oeste
520,A,17,12.45,2023-08-02,Norte
521,B,15,10.5,2023-07-14,Oeste
522,A,11,1.97,2023-03-28,Leste
523,C,3,1.77,2023-07-25,Oeste
524,B,17,11.4,2023-09-01,Leste
525,B,8,7.15,2023-06-12,Leste
526,D,4,5.52,2023-08-28,Oeste
527,D,5,3.95,2023-02-12,Leste
528,D,10,10.67,2023-04-20,Norte
529,B,3,13.44,2023-08-09,Sul
530,A,5,1.99,2023-12-27,Oeste
531,B,17,1.25,2023-10-22,Sul
532,C,9,14.39,2023-12-07,Oeste
533,D,12,11.58,2023-12-02,Sul
534,B,6,12.94,2023-06-22,Norte
535,D,6,3.37,2023-07-08,Norte
536,A,15,8.47,2023-10-27,Oeste
537,C,9,11.78,2023-09-07,Sul
538,C,19,8.16,2023-09-16,Oeste
539,A,19,2.77,2023-01-06,Oeste
540,B,14,5.82,2023-03-11,Sul
541,A,11,6.22,2023-07-18,Norte
542,B,13,3.85,2023-08-30,Sul
543,D,3,4.72,2023-11-27,Oeste
544,D,21,7.46,2023-10-22,Leste
545,C,18,6.49,2023-06-01,Norte
546,C,4,12.23,2023-08-17,Oeste
547,D,14,6.63,2023-07-24,Sul
548,C,8,11.33,2023-05-03,Oeste
549,A,7,7.16,2023-01-17,Norte
550,D,18,4.78,2023-01-06,Norte
551,B,2,6.55,2023-06-21,Leste
552,C,12,10.13,2023-11-08,Norte
553,C,14,13.47,2023-02-04,Norte
554,D,15,9.1,2023-11-21,Oeste
555,B,9,2.58,2023-01-27,Norte
556,B,24,1.82,2023-02-03,Leste
557,D,19,5.47,2023-08-28,Oeste
558,B,5,5.46,2023-03-14,Oeste
559,C,18,9.74,2023-05-15,Sul
560,D,19,6.16,2023-05-19,Oeste
561,D,20,14.77,2023-09-27,Oeste
562,D,4,10.54,2023-03-23,Leste
563,A,2,8.74,2023-09-29,Sul
564,C,16,9.16,2023-03-20,Norte
565,B,16,7.15,2023-05-25,Sul
566,B,22,11.15,2023-10-22,Norte
567,A,15,11.54,2023-01-09,Leste
568,C,3,10.43,2023-05-11,Oeste
569,D,11,1.32,2023-09-05,Leste
570,D,11,8.28,2023-05-11,Norte
571,A,16,12.99,2023-04-15,Leste
572,D,11,4.29,2023-08-20,Leste
573,A,16,14.66,2023-02-12,Norte
574,A,18,10.58,2023-02-06,Sul
575,A,24,11.44,2023-04-17,Oeste
576,B,18,14.72,2023-12-07,Leste
577,B,15,5.14,2023-11-21,Oeste
578,B,5,5.67,2023-10-19,Norte
579,A,24,7.74,2023-12-22,Sul
580,B,7,14.35,2023-06-21,Oeste
581,D,24,2.68,2023-12-18,Oeste
582,B,15,6.68,2023-03-11,Sul
583,A,1,9.9,2023-05-25,Sul
584,A,3,5.42,2023-09-08,Sul
585,C,10,9.23,2023-02-02,Norte
586,D,4,7.26,2023-08-26,Norte
587,C,9,10.04,2023-06-05,Oeste
588,D,7,10.67,2023-08-16,Oeste
589,C,11,1.36,2023-12-22,Norte
590,C,17,2.8,2023-07-06,Sul
591,D,6,1.25,2023-07-11,Sul
592,C,5,1.19,2023-11-21,Sul
593,C,21,4.47,2023-10-31,Sul
594,B,13,1.93,2023-04-26,Norte
595,A,17,9.57,2023-07-05,Norte
596,C,2,11.1,2023-11-16,Norte
597,A,5,14.76,2023-05-26,Leste
598,C,17,2.74,2023-06-09,Sul
599,C,18,7.15,2023-12-13,Leste
600,D,21,13.01,2023-08-02,Sul
601,C,22,5.55,2023-11-22,Norte
602,C,14,12.9,2023-04-16,Norte
603,D,15,3.92,2023-02-14,Oeste
604,D,2,13.32,2023-03-03,Oeste
605,D,13,14.79,2023-03-18,Sul
606,A,17,1.9,2023-09-25,Oeste
607,D,21,10.79,2023-05-25,Leste
608,C,6,1.79,2023-01-01,Oeste
609,A,7,11.52,2023-02-22,Oeste
610,D,13,11.87,2023-09-15,Norte
611,B,21,8.97,2023-10-02,Norte
612,B,9,6.9,2023-01-19,Oeste
613,A,21,3.49,2023-05-13,Norte
614,A,16,11.28,2023-09-29,Sul
615,C,21,13.74,2023-07-02,Leste
616,D,24,14.43,2023-05-08,Sul
617,B,23,12.43,2023-12-04,Sul
618,B,7,6.1,2023-12-16,Oeste
619,D,18,8.73,2023-12-01,Norte
620,C,9,3.84,2023-09-15,Norte
621,B,22,4.65,2023-10-09,Sul
622,B,11,2.68,2023-02-21,Leste
623,B,2,9.65,2023-09-16,Norte
624,C,2,13.69,2023-05-10,Norte
625,D,13,4.93,2023-11-14,Norte
626,A,5,7.36,2023-09-10,Norte
627,C,10,7.63,2023-08-12,Sul
628,C,4,12.02,2023-02-17,Leste
629,B,7,6.63,2023-05-05,Norte
630,C,22,12.81,2023-11-03,Oeste
631,B,11,2.5,2023-08-17,Norte
632,A,5,11.6,2023-08-30,Norte
633,C,14,1.59,2023-08-20,Norte
634,D,15,1.54,2023-03-03,Sul
635,C,4,4.3,2023-01-07,Norte
636,D,17,3.0,2023-11-11,Oeste
637,D,22,4.97,2023-10-28,Oeste
638,C,9,7.94,2023-09-22,Oeste
639,D,7,7.29,2023-05-13,Oeste
640,D,5,8.74,2023-06-30,Leste
641,C,14,12.56,2023-05-16,Norte
642,A,11,6.33,2023-07-28,Norte
643,C,9,8.37,2023-05-30,Sul
644,B,5,1.92,2023-07-13,Oeste
645,D,15,14.8,2023-05-07,Oeste
646,C,23,8.64,2023-08-11,Leste
647,B,24,13.97,2023-01-11,Sul
648,D,16,8.47,2023-09-11,Norte
649,D,15,13.29,2023-06-08,Sul
650,A,23,1.7,2023-01-06,Oeste
651,A,15,8.7,2023-04-17,Norte
652,B,19,9.58,2023-06-03,Sul
653,B,2,9.47,2023-11-27,Norte
654,D,6,12.66,2023-05-18,Norte
